Id,Title,Geography ISO,Documents,Category,Events,Sectors,Instruments,Frameworks,Responses,Natural Hazards,Document Type,Year,Language,Keywords
9519,"Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088",EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32020R0852|en,legislative,18/06/2020|Published||;04/06/2021|Amended||;06/07/2021|Amended||;02/02/2022|Complementary Climate Delegated Act published||,Economy-wide,"Standards, obligations and norms|Regulation",,Adaptation;Mitigation,,EU Regulation,2020,English,Renewables;Gas;Nuclear;taxonomy
9519,"Commission Delegated Regulation (EU) 2021/2178 of 6 July 2021 supplementing Regulation (EU) 2020/852 of the European Parliament and of the Council by specifying the content and presentation of information to be disclosed by undertakings subject to Articles 19a or 29a of Directive 2013/34/EU concerning environmentally sustainable economic activities, and specifying the methodology to comply with that disclosure obligation",EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2021.443.01.0009.01.ENG|en,legislative,18/06/2020|Published||;04/06/2021|Amended||;06/07/2021|Amended||;02/02/2022|Complementary Climate Delegated Act published||,Economy-wide,"Standards, obligations and norms|Regulation",,Adaptation;Mitigation,,EU Regulation,2021,English,Renewables;Gas;Nuclear;taxonomy
9519,Commission Delegated Regulation (EU) 2021/2139 of 4 June 2021 supplementing Regulation (EU) 2020/852 of the European Parliament and of the Council by establishing the technical screening criteria for determining the conditions under which an economic activity qualifies as contributing substantially to climate change mitigation or climate change adaptation and for determining whether that economic activity causes no significant harm to any of the other environmental objectives,EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32021R2139&qid=1639037016630|en,legislative,18/06/2020|Published||;04/06/2021|Amended||;06/07/2021|Amended||;02/02/2022|Complementary Climate Delegated Act published||,Economy-wide,"Standards, obligations and norms|Regulation",,Adaptation;Mitigation,,EU Regulation,2021,English,Renewables;Gas;Nuclear;taxonomy
9519,COMMISSION DELEGATED REGULATION (EU) amending Delegated Regulation (EU) 2021/2139 as regards economic activities in certain energy sectors and Delegated Regulation (EU) 2021/2178 as regards specific public disclosures for those economic activities,EUR,https://ec.europa.eu/finance/docs/level-2-measures/taxonomy-regulation-delegated-act-2022-631_en.pdf|en,legislative,18/06/2020|Published||;04/06/2021|Amended||;06/07/2021|Amended||;02/02/2022|Complementary Climate Delegated Act published||,Economy-wide,"Standards, obligations and norms|Regulation",,Adaptation;Mitigation,,EU Regulation,2022,English,Renewables;Gas;Nuclear;taxonomy
9520,Regulation (EU) 2019/2088 of the European Parliament and of the Council of 27 November 2019 on sustainability‐related disclosures in the financial services sector,EUR,https://eur-lex.europa.eu/eli/reg/2019/2088/oj|en,legislative,27/11/2019|Published||;18/06/2020|Amended|Amended by Regulation (EU) 2020/852|,Economy-wide,"Disclosure obligations|Regulation;Standards, obligations and norms|Regulation",,Mitigation,,EU Regulation,2019,English,Finance
9520,"Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088",EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32020R0852|en,legislative,27/11/2019|Published||;18/06/2020|Amended|Amended by Regulation (EU) 2020/852|,Economy-wide,"Disclosure obligations|Regulation;Standards, obligations and norms|Regulation",,Mitigation,,EU Regulation,2020,English,Finance
9635,The EU budget powering the recovery plan for Europe,EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=COM%3A2020%3A442%3AFIN|en,legislative,14/12/2020|Council Regulation 2020/2094 approved||;11/02/2021|Recovery Plan approved||,Economy-wide,"Provision of climate funds|Direct Investment;Institutional mandates|Governance;Processes, plans and strategies|Governance",,Mitigation,,Plan,2020,English,Covid19;Stimulus Plan;Just Transition
9635,"Special meeting of the European Council (17, 18, 19, 20 and 21 July 2020) – Conclusions",EUR,https://www.consilium.europa.eu/media/45109/210720-euco-final-conclusions-en.pdf|en,legislative,14/12/2020|Council Regulation 2020/2094 approved||;11/02/2021|Recovery Plan approved||,Economy-wide,"Provision of climate funds|Direct Investment;Institutional mandates|Governance;Processes, plans and strategies|Governance",,Mitigation,,Summary,2020,English,Covid19;Stimulus Plan;Just Transition
9635,A recovery plan for Europe,EUR,https://www.consilium.europa.eu/en/policies/eu-recovery-plan/|en,legislative,14/12/2020|Council Regulation 2020/2094 approved||;11/02/2021|Recovery Plan approved||,Economy-wide,"Provision of climate funds|Direct Investment;Institutional mandates|Governance;Processes, plans and strategies|Governance",,Mitigation,,Plan,2021,English,Covid19;Stimulus Plan;Just Transition
9635,Regulation (EU) 2021/241 of the European Parliament and of the Council of 12 February 2021 establishing the Recovery and Resilience Facility,EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R0241&qid=1616507861922|en,legislative,14/12/2020|Council Regulation 2020/2094 approved||;11/02/2021|Recovery Plan approved||,Economy-wide,"Provision of climate funds|Direct Investment;Institutional mandates|Governance;Processes, plans and strategies|Governance",,Mitigation,,EU Regulation,2021,English,Covid19;Stimulus Plan;Just Transition
9693,A European Strategy for Low-Emission Mobility,EUR,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdndNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e6d187624e31d74b4ed213b44820c4bb9cd46938/stratlowcarbtranspEU.pdf|en,executive,20/07/2016|Released||,Transportation,"Processes, plans and strategies|Governance",,Mitigation,,Strategy,2016,English,Renewables;Ev;Public Transport
9693,A European Strategy for Low-Emission Mobility: Communication,EUR,https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A52016DC0501|en,executive,20/07/2016|Released||,Transportation,"Processes, plans and strategies|Governance",,Mitigation,,Strategy,2016,English,Renewables;Ev;Public Transport
9694,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources,EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32018L2001|en,legislative,11/12/2018|Approved||;13/03/2019|Supplementing Regulation approved||,Buildings;Energy;LULUCF;Transportation,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance;International cooperation|Governance;Education, training and knowledge dissemination|Information",,Mitigation,,EU Directive,2018,English,Renewables;Biofuels;Biomass;Carbon Sink;Land Use
9694,"Commission Delegated Regulation (EU) 2019/807 of 13 March 2019 supplementing Directive (EU) 2018/2001 of the European Parliament and of the Council as regards the determination of high indirect land-use change-risk feedstock for which a significant expansion of the production area into land with high carbon stock is observed and the certification of low indirect land-use change-risk biofuels, bioliquids and biomass fuels",EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.133.01.0001.01.ENG&toc=OJ:L:2019:133:TOC|en,legislative,11/12/2018|Approved||;13/03/2019|Supplementing Regulation approved||,Buildings;Energy;LULUCF;Transportation,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance;International cooperation|Governance;Education, training and knowledge dissemination|Information",,Mitigation,,EU Regulation,2019,English,Renewables;Biofuels;Biomass;Carbon Sink;Land Use
9987,Action Plan: Financing Sustainable Growth,EUR,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52018DC0097|en,executive,08/03/2018|Approved||,Finance,"Capacity building|Governance;Processes, plans and strategies|Governance",,Adaptation;Mitigation,,Action Plan,2018,English,Finance
